,Unnamed: 0,File_name,Target,Language
0,0,004_1.wav,dog,en-UK
1,1,004_2.wav,lipstick,en-UK
2,2,004_3.wav,orange,en-UK
3,3,004_4.wav,chair,en-UK
4,4,004_5.wav,money,en-UK
5,5,004_6.wav,lettuce,en-UK
6,6,004_7.wav,alpaca,en-UK
7,7,004_8.wav,french_fries,en-UK
8,8,004_9.wav,purse,en-UK
9,9,004_10.wav,lamp,en-UK
0,0,005_1.wav,dog,en-UK
1,1,005_2.wav,lipstick,en-UK
2,2,005_3.wav,orange,en-UK
3,3,005_4.wav,chair,en-UK
4,4,005_5.wav,money,en-UK
5,5,005_6.wav,lettuce,en-UK
6,6,005_7.wav,alpaca,en-UK
7,7,005_8.wav,french_fries,en-UK
8,8,005_9.wav,purse,en-UK
9,9,005_10.wav,lamp,en-UK
0,0,002_1.wav,Hund,de-DE
1,1,002_2.wav,Lippenstift,de-DE
2,2,002_3.wav,Orange,de-DE
3,3,002_4.wav,Stuhl,de-DE
4,4,002_5.wav,Geld,de-DE
5,5,002_6.wav,Salat,de-DE
6,6,002_7.wav,Alpaca,de-DE
7,7,002_8.wav,Pommes,de-DE
8,8,002_9.wav,Tasche,de-DE
9,9,002_10.wav,Lampe,de-DE
0,0,003_1.wav,Cane,it-IT
1,1,003_2.wav,Rossetto,it-IT
2,2,003_3.wav,Arancione,it-IT
3,3,003_4.wav,Sedia,it-IT
4,4,003_5.wav,Denaro,it-IT
5,5,003_6.wav,Lattuga,it-IT
6,6,003_7.wav,alpaca,it-IT
7,7,003_8.wav,patatine fritte,it-IT
8,8,003_9.wav,borsetta,it-IT
9,9,003_10.wav,Lampada,it-IT
0,0,001_1.wav,Hund,de-DE
1,1,001_2.wav,Lippenstift,de-DE
2,2,001_3.wav,Orange,de-DE
3,3,001_4.wav,Stuhl,de-DE
4,4,001_5.wav,Geld,de-DE
5,5,001_6.wav,Salat,de-DE
6,6,001_7.wav,Alpaca,de-De
7,7,001_8.wav,Pommes,de-DE
8,8,001_9.wav,Tasche,de-DE
9,9,001_10.wav,Lampe,de-DE
